category,canonical_name,aliases,normalized_aliases
union_council,UC 11: Chak No.49 RB Kiriwala,UC 11: Chak No.49 RB Kiriwala | Kiriwala | Chak 49 RB | 49 RB Kiriwala | 49/RB Kiriwala | Chak 49 RB Kiriwala | Chak No49 RB Kiriwala | Chak No 49 RB Kiriwala | Chak No.49 RB Kiriwala | Chak No. 49 RB Kiriwala,11 chak 49 rb kiriwala | 49 rb kiriwala | chak 49 rb | chak 49 rb kiriwala | chak no49 rb kiriwala | kiriwala
union_council,UC 12: Chak No.38/RB Nizam Pur,UC 12: Chak No.38/RB Nizam Pur | 38 /RB Nizam Pur | Chak 38 /RB Nizam Pur | Chak No38 RB Nizam Pur | Chak No.38/RB Nizam Pur | Chak No 38 /RB Nizam Pur | Chak No. 38 /RB Nizam Pur,12 chak 38 rb nizam pur | 38 rb nizam pur | chak 38 rb nizam pur | chak no38 rb nizam pur
union_council,UC 13: Chak No.82/RB Rasulpur Arian,UC 13: Chak No.82/RB Rasulpur Arian | 82 /RB Rasulpur Arian | Chak 82 /RB Rasulpur Arian | Chak No82 RB Rasulpur Arian | Chak No.82/RB Rasulpur Arian | Chak No 82 /RB Rasulpur Arian | Chak No. 82 /RB Rasulpur Arian,13 chak 82 rb rasulpur arian | 82 rb rasulpur arian | chak 82 rb rasulpur arian | chak no82 rb rasulpur arian
union_council,UC 14: Chak No.44/RB Kotla Kahlwan,UC 14: Chak No.44/RB Kotla Kahlwan | 44 /RB Kotla Kahlwan | Chak 44 /RB Kotla Kahlwan | Chak No44 RB Kotla Kahlwan | Chak No.44/RB Kotla Kahlwan | Chak No 44 /RB Kotla Kahlwan | Chak No. 44 /RB Kotla Kahlwan,14 chak 44 rb kotla kahlwan | 44 rb kotla kahlwan | chak 44 rb kotla kahlwan | chak no44 rb kotla kahlwan
union_council,UC 15: Chak No.168 RB Karkan,UC 15: Chak No.168 RB Karkan | Karkan | Chak 168 RB | 168 RB Karkan | 168/RB Karkan | Chak 168 RB Karkan | Chak No168 RB Karkan | Chak No 168 RB Karkan | Chak No.168 RB Karkan | Chak No. 168 RB Karkan,15 chak 168 rb karkan | 168 rb karkan | chak 168 rb | chak 168 rb karkan | chak no168 rb karkan | karkan
union_council,UC 16: Chak No.175/RB Wali Pur Bura,UC 16: Chak No.175/RB Wali Pur Bura | 175 /RB Wali Pur Bura | Chak 175 /RB Wali Pur Bura | Chak No175 RB Wali Pur Bura | Chak No.175/RB Wali Pur Bura | Chak No 175 /RB Wali Pur Bura | Chak No. 175 /RB Wali Pur Bura,16 chak 175 rb wali pur bura | 175 rb wali pur bura | chak 175 rb wali pur bura | chak no175 rb wali pur bura
union_council,UC 17: Chak No.176/RB Panwan,UC 17: Chak No.176/RB Panwan | 176 /RB Panwan | Chak 176 /RB Panwan | Chak No176 RB Panwan | Chak No.176/RB Panwan | Chak No 176 /RB Panwan | Chak No. 176 /RB Panwan,17 chak 176 rb panwan | 176 rb panwan | chak 176 rb panwan | chak no176 rb panwan
union_council,UC 18: Chak No.179/RB Nodha,UC 18: Chak No.179/RB Nodha | 179 /RB Nodha | Chak 179 /RB Nodha | Chak No179 RB Nodha | Chak No.179/RB Nodha | Chak No 179 /RB Nodha | Chak No. 179 /RB Nodha,179 rb nodha | 18 chak 179 rb nodha | chak 179 rb nodha | chak no179 rb nodha
union_council,UC 19: Chak No.180/RB Nathuwala,UC 19: Chak No.180/RB Nathuwala | 180 /RB Nathuwala | Chak 180 /RB Nathuwala | Chak No180 RB Nathuwala | Chak No.180/RB Nathuwala | Chak No 180 /RB Nathuwala | Chak No. 180 /RB Nathuwala,180 rb nathuwala | 19 chak 180 rb nathuwala | chak 180 rb nathuwala | chak no180 rb nathuwala
union_council,UC 20: Chak No.184/RB Kot Nazim Din,UC 20: Chak No.184/RB Kot Nazim Din | 184 /RB Kot Nazim Din | Chak 184 /RB Kot Nazim Din | Chak No184 RB Kot Nazim Din | Chak No.184/RB Kot Nazim Din | Chak No 184 /RB Kot Nazim Din | Chak No. 184 /RB Kot Nazim Din,184 rb kot nazim din | 20 chak 184 rb kot nazim din | chak 184 rb kot nazim din | chak no184 rb kot nazim din
union_council,UC 21: Chak No.12/GB Garmula,UC 21: Chak No.12/GB Garmula | 12 /GB Garmula | Chak 12 /GB Garmula | Chak No12 GB Garmula | Chak No.12/GB Garmula | Chak No 12 /GB Garmula | Chak No. 12 /GB Garmula,12 gb garmula | 21 chak 12 gb garmula | chak 12 gb garmula | chak no12 gb garmula
union_council,UC 22: Chak No.13 GB Randheer,UC 22: Chak No.13 GB Randheer | Randheer | Chak 13 GB | 13 GB Randheer | 13/GB Randheer | Chak 13 GB Randheer | Chak No13 GB Randheer | Chak No 13 GB Randheer | Chak No.13 GB Randheer | Chak No. 13 GB Randheer,13 gb randheer | 22 chak 13 gb randheer | chak 13 gb | chak 13 gb randheer | chak no13 gb randheer | randheer
union_council,UC 23: Chak No.5/GB,UC 23: Chak No.5/GB | 5 /GB | Chak 5 /GB | Chak No5 GB | Chak No.5/GB | Chak No 5 /GB | Chak No. 5 /GB,23 chak 5 gb | 5 gb | chak 5 gb | chak no5 gb
union_council,UC 24: Chak No.4/GB Baghwanpura,UC 24: Chak No.4/GB Baghwanpura | Baghwanpura | Baghwan Pura | 4 /GB Baghwanpura | Chak 4 /GB Baghwanpura | Chak No4 GB Baghwanpura | Chak No.4/GB Baghwanpura | Chak No 4 /GB Baghwanpura | Chak No. 4 /GB Baghwanpura,24 chak 4 gb baghwanpura | 4 gb baghwanpura | baghwan pura | baghwanpura | chak 4 gb baghwanpura | chak no4 gb baghwanpura
union_council,UC 25: Chak No.371/GB Martanpur,UC 25: Chak No.371/GB Martanpur | 371 /GB Martanpur | Chak 371 /GB Martanpur | Chak No371 GB Martanpur | Chak No.371/GB Martanpur | Chak No 371 /GB Martanpur | Chak No. 371 /GB Martanpur,25 chak 371 gb martanpur | 371 gb martanpur | chak 371 gb martanpur | chak no371 gb martanpur
union_council,UC 26: Machrala,UC 26: Machrala | Machrala,26 machrala | machrala
union_council,UC 27: Shareen Jhangar,UC 27: Shareen Jhangar | Shareen Jhangar,27 shareen jhangar | shareen jhangar
union_council,UC 28: Bal Lila (Ilyas Nagar),UC 28: Bal Lila (Ilyas Nagar) | Bal Lila | Ilyas Nagar | Bal Lila Ilyas Nagar | Bal Lila (Ilyas Nagar),28 bal lila ilyas nagar | bal lila | bal lila ilyas nagar | ilyas nagar
union_council,UC 29: Kot Hussain Khan,UC 29: Kot Hussain Khan | Kot Hussain Khan,29 kot hussain khan | kot hussain khan
union_council,UC 30: Malji (Dera Da Wara),UC 30: Malji (Dera Da Wara) | Malji | Dera Da Wara | Malji Dera Da Wara | Malji (Dera Da Wara),30 malji dera da wara | dera da wara | malji | malji dera da wara
union_council,UC 31: Nabi Pur Piran,UC 31: Nabi Pur Piran | Nabi Pur Piran,31 nabi pur piran | nabi pur piran
union_council,UC 32: Fatta Thatta,UC 32: Fatta Thatta | Fatta Thatta,32 fatta thatta | fatta thatta
union_council,UC 33: Khiare Kalan,UC 33: Khiare Kalan | Khiare Kalan,33 khiare kalan | khiare kalan
union_council,UC 34: Kot Namdar,UC 34: Kot Namdar | Kot Namdar,34 kot namdar | kot namdar
union_council,UC 35: Barkhurdar,UC 35: Barkhurdar | Barkhurdar,35 barkhurdar | barkhurdar
union_council,UC 36: Chak No.576/GB,UC 36: Chak No.576/GB | 576 /GB | Chak 576 /GB | Chak No576 GB | Chak No.576/GB | Chak No 576 /GB | Chak No. 576 /GB,36 chak 576 gb | 576 gb | chak 576 gb | chak no576 gb
union_council,UC 37: Jaslani,UC 37: Jaslani | Jaslani,37 jaslani | jaslani
union_council,UC 38: Miran Pur,UC 38: Miran Pur | Miranpur | Miran Pur,38 miran pur | miran pur | miranpur
union_council,UC 39: Joge Kout Nou Bahar,UC 39: Joge Kout Nou Bahar | Joge Kout Nou Bahar,39 joge kout nou bahar | joge kout nou bahar
union_council,UC 40: Jowahapur,UC 40: Jowahapur | Jowahapur,40 jowahapur | jowahapur
union_council,UC 41: Rehanwala,UC 41: Rehanwala | Rehanwala,41 rehanwala | rehanwala
union_council,UC 42: Ganesh Pur,UC 42: Ganesh Pur | Ganesh Pur,42 ganesh pur | ganesh pur
union_council,UC 43: Chachke Gill,UC 43: Chachke Gill | Chachke Gill,43 chachke gill | chachke gill
union_council,UC 44: Bhochoke Par,UC 44: Bhochoke Par | Bhochoke Par,44 bhochoke par | bhochoke par
union_council,UC 45: Mangtanwala,UC 45: Mangtanwala | Mangtanwala,45 mangtanwala | mangtanwala
union_council,UC 46: Jalal Nau,UC 46: Jalal Nau | Jalalnau | Jalal Nau,46 jalal nau | jalal nau | jalalnau
union_council,UC 47: Saleem Pur Pacca,UC 47: Saleem Pur Pacca | Saleem Pur Pacca,47 saleem pur pacca | saleem pur pacca
union_council,UC 48: Hafit Madar,UC 48: Hafit Madar | Hafit Madar,48 hafit madar | hafit madar
union_council,UC 49: Natha,UC 49: Natha | Natha,49 natha | natha
union_council,UC 50: More Khunda,UC 50: More Khunda | Mor Khunda | More Khunda,50 more khunda | mor khunda | more khunda
union_council,UC 51: Kot Benidas,UC 51: Kot Benidas | Kot Benidas,51 kot benidas | kot benidas
union_council,UC 52: Chindpur,UC 52: Chindpur | Chindpur,52 chindpur | chindpur
union_council,UC 53: Mora,UC 53: Mora | Mora,53 mora | mora
union_council,UC 54: Bucheki,UC 54: Bucheki | Bucheki,54 bucheki | bucheki
union_council,UC 55: Arazi Bucheki,UC 55: Arazi Bucheki | Arazi Bucheki,55 arazi bucheki | arazi bucheki
union_council,UC 56: Lurka,UC 56: Lurka | Lurka,56 lurka | lurka
union_council,UC 57: Chak Hyderabad,UC 57: Chak Hyderabad | Chak Hyderabad,57 chak hyderabad | chak hyderabad
union_council,UC 58: Bhara Ghar,UC 58: Bhara Ghar | Bhara Ghar,58 bhara ghar | bhara ghar
union_council,UC 59: Machora,UC 59: Machora | Machora,59 machora | machora
union_council,UC 60: Fareed Abad,UC 60: Fareed Abad | Fareed Abad,60 fareed abad | fareed abad
union_council,UC 61: Ali Juj,UC 61: Ali Juj | Ali Juj,61 ali juj | ali juj
union_council,UC 62: Malka Haji Mouj,UC 62: Malka Haji Mouj | Malka Haji Mouj,62 malka haji mouj | malka haji mouj
union_council,UC 63: Syed Wala,UC 63: Syed Wala | Syedwala | Seyedwala | Syed Wala,63 syed wala | seyedwala | syed wala | syedwala
union_council,UC 64: Shah Balawal,UC 64: Shah Balawal | Shah Balawal,64 shah balawal | shah balawal
union_council,UC 65: Meher Pur Meman,UC 65: Meher Pur Meman | Meher Pur Meman,65 meher pur meman | meher pur meman
locality,Janam Asthan,Janam Asthan,janam asthan
locality,Abian Wala,Abian Wala,abian wala
locality,Arazi Bacheke,Arazi Bacheke,arazi bacheke
locality,Miran Pur,Miran Pur,miran pur
locality,Mashmoola Jat,Mashmoola Jat,mashmoola jat
locality,Jhangar,Jhangar,jhangar
locality,Tipayala,Tipayala,tipayala
locality,Tapiyala,Tapiyala,tapiyala
locality,Kona Tibba,Kona Tibba,kona tibba
locality,Malook,Malook,malook
locality,Jaslani,Jaslani,jaslani
locality,Mangtan Wala,Mangtan Wala,mangtan wala
locality,Chandi Kot,Chandi Kot,chandi kot
locality,Hajji Kot,Hajji Kot,hajji kot
locality,Hussain Kot,Hussain Kot,hussain kot
locality,Canal Bridge Chowk Balochan,Canal Bridge Chowk Balochan,canal bridge chowk balochan
locality,Bahawal Kot,Bahawal Kot,bahawal kot
locality,Alawal Kot,Alawal Kot,alawal kot
locality,Kot Zaid,Kot Zaid,kot zaid
locality,Marh Sharqi,Marh Sharqi,marh sharqi
locality,Marh Gharbi,Marh Gharbi,marh gharbi
locality,Hamiroki,Hamiroki,hamiroki
locality,Rattian Gunian Wala,Rattian Gunian Wala,rattian gunian wala
locality,Jhugian,Jhugian,jhugian
locality,Ruryana,Ruryana,ruryana
locality,Pakhari Wali,Pakhari Wali,pakhari wali
locality,Pandat Wala,Pandat Wala,pandat wala
locality,Dheer,Dheer,dheer
locality,Chahoor Muslim,Chahoor Muslim,chahoor muslim
locality,Chahoor Sikhan,Chahoor Sikhan,chahoor sikhan
locality,Karmat Abad,Karmat Abad,karmat abad
locality,Chahoor Mughlian,Chahoor Mughlian,chahoor mughlian
locality,Kotla Kalan,Kotla Kalan,kotla kalan
locality,Kotla Khurd,Kotla Khurd,kotla khurd
locality,Chak No.7 Saini Bar,Chak No.7 Saini Bar,chak 7 saini bar
locality,Chak No.5 Kalan,Chak No.5 Kalan,chak 5 kalan
locality,Bibi Jan Nankana Road,Bibi Jan Nankana Road,bibi jan nankana road
locality,Machralla Road,Machralla Road,machralla road
